,gender,Nationality,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisitedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0,0,0,0,0,4,0,0,0,0,15,16,2,20,1,1,0,2
1,0,0,0,0,4,0,0,0,0,20,20,3,25,1,1,0,2
2,0,0,0,0,4,0,0,0,0,10,7,0,30,0,0,1,1
3,0,0,0,0,4,0,0,0,0,30,25,5,35,0,0,1,1
4,0,0,0,0,4,0,0,0,0,40,50,12,50,0,0,1,2
5,1,0,0,0,4,0,0,0,0,42,30,13,70,1,0,1,2
6,0,0,0,1,7,0,10,0,0,35,12,0,17,0,0,1,1
7,0,0,0,1,7,0,10,0,0,50,10,15,22,1,1,0,2
8,1,0,0,1,7,0,10,0,0,12,21,16,50,1,1,0,2
9,1,0,0,1,7,1,0,0,0,70,80,25,70,1,1,0,2
10,0,0,0,1,7,0,10,0,0,50,88,30,80,1,1,0,3
11,0,0,0,1,7,1,10,0,0,19,6,19,12,1,1,0,2
12,0,0,0,0,4,0,0,0,0,5,1,0,11,0,0,1,1
13,0,4,3,1,8,0,10,0,0,20,14,12,19,0,0,1,1
14,1,0,0,1,8,0,10,0,1,62,70,44,60,0,0,1,3
15,1,0,0,1,6,0,0,0,0,30,40,22,66,1,1,0,2
16,0,0,0,1,7,1,0,0,0,36,30,20,80,0,0,1,2
17,0,0,0,1,7,0,10,0,0,55,13,35,90,0,0,1,2
18,1,0,0,1,7,0,0,0,1,69,15,36,96,1,1,0,2
19,0,0,0,1,7,1,0,0,1,70,50,40,99,1,1,0,3
20,1,0,0,1,7,0,0,0,0,60,60,33,90,0,0,1,2
21,1,0,0,1,7,1,0,0,0,10,12,4,80,0,0,0,2
22,0,0,0,1,7,0,0,0,0,15,21,2,90,0,0,0,2
23,0,0,0,1,7,0,0,0,0,2,0,2,50,0,0,1,1
24,0,0,0,1,7,1,0,0,0,0,2,3,70,1,1,1,1
25,0,0,0,1,7,0,0,0,0,8,7,30,40,1,1,1,1
26,0,0,0,1,7,1,0,0,0,19,19,25,40,1,0,0,2
27,0,0,0,1,8,0,2,0,0,25,15,12,33,0,0,1,1
28,0,0,0,1,8,0,3,0,0,75,85,52,43,1,1,0,2
29,1,0,0,1,8,0,2,0,0,30,90,33,35,0,0,0,2
30,1,0,0,1,8,0,2,0,0,35,80,50,70,1,1,0,3
31,0,0,0,1,7,0,0,0,0,4,5,40,16,1,1,1,1
32,1,0,0,0,7,0,0,0,0,2,19,10,50,1,1,1,1
33,0,0,0,0,5,0,4,0,0,8,22,9,40,0,0,1,1
34,0,0,0,1,7,1,3,0,0,12,11,8,40,0,0,1,1
35,0,0,0,1,7,0,4,0,0,10,12,17,30,0,0,1,1
36,0,0,0,1,7,1,3,0,1,8,6,4,22,1,1,1,1
37,1,7,7,1,7,0,0,0,0,45,54,26,90,1,1,0,2
38,0,0,0,1,6,0,0,0,0,0,0,0,4,0,0,1,1
39,1,6,4,1,7,1,3,0,0,50,90,37,70,1,1,0,2
40,1,0,0,1,7,0,0,0,0,14,13,3,70,0,0,1,1
41,0,0,0,1,7,0,0,0,0,19,20,16,50,0,1,0,2
42,0,0,0,2,9,0,0,0,0,10,12,7,33,1,1,1,1
43,1,0,0,2,9,0,0,0,0,30,35,28,90,1,1,0,2
44,1,0,0,2,9,0,0,0,0,33,33,30,90,0,0,0,2
45,0,0,0,1,7,0,9,0,0,20,12,15,70,0,1,1,1
46,0,0,0,0,5,0,4,0,0,7,10,1,30,0,0,1,1
47,1,0,0,2,12,0,4,0,1,70,4,39,90,1,1,0,3
48,1,0,0,2,12,0,4,0,1,13,80,40,88,1,1,0,3
49,1,0,0,2,12,0,4,0,0,29,39,50,77,1,1,0,2
50,1,0,0,2,12,0,4,0,0,20,14,12,70,0,0,1,1
51,0,0,0,2,12,0,4,0,0,39,15,16,50,0,1,1,1
52,1,0,0,2,12,0,4,0,0,55,90,16,40,0,0,0,2
53,1,0,0,2,11,0,3,0,1,49,70,19,75,1,1,0,3
54,0,0,0,2,12,0,4,0,1,12,50,8,30,0,0,1,1
55,0,0,0,1,7,0,10,0,0,16,14,6,20,1,1,1,1
56,0,9,5,1,8,1,10,0,0,19,5,4,1,1,1,1,1
57,0,0,0,1,7,0,10,0,0,5,2,6,5,1,1,1,1
58,0,0,0,1,7,0,10,0,0,28,60,19,50,1,1,0,2
59,1,9,5,1,7,0,10,0,0,27,22,22,40,0,1,0,2
60,1,1,1,0,5,0,4,0,1,21,10,28,20,0,1,1,1
61,0,0,0,2,10,0,0,0,0,50,70,32,40,1,1,0,2
62,0,14,13,2,10,0,0,0,1,80,90,70,80,1,1,0,3
63,0,0,0,2,10,0,0,0,0,17,13,16,12,1,0,0,2
64,0,0,0,2,10,0,0,0,0,0,5,7,2,0,0,1,1
65,0,0,0,2,12,0,4,0,0,13,5,18,19,0,0,1,1
66,1,0,0,2,12,0,4,0,0,25,10,19,30,0,0,1,2
67,1,9,5,2,12,0,4,0,1,65,75,23,80,1,1,0,3
68,1,9,5,2,12,0,0,0,1,70,69,35,30,1,1,0,3
69,0,1,1,1,7,0,0,0,0,39,40,11,33,0,0,0,2
70,0,1,1,1,7,0,0,0,0,22,30,10,12,1,1,1,1
71,0,0,0,1,7,0,0,0,0,29,22,9,20,1,1,0,2
72,0,0,0,1,7,0,10,0,0,11,2,2,8,0,0,0,1
73,1,0,0,1,7,0,4,0,0,19,30,26,19,1,0,1,2
74,0,0,0,1,7,1,0,0,0,12,0,6,13,0,0,0,1
75,0,1,1,1,7,0,9,0,1,50,90,29,60,1,1,0,2
76,0,10,9,2,9,0,0,0,1,15,70,37,44,1,1,0,2
77,0,0,0,2,9,0,0,0,0,20,80,33,33,1,1,0,2
78,0,0,0,2,11,0,9,0,0,13,3,11,9,0,0,1,1
79,1,4,3,1,7,1,10,0,1,80,90,49,55,1,0,0,3
80,0,0,0,1,7,0,10,0,0,8,15,10,40,1,0,0,1
81,0,0,0,0,2,0,0,0,0,8,25,1,70,0,0,1,1
82,0,0,0,0,2,1,0,0,0,7,5,2,80,1,1,1,1
83,0,0,0,0,2,1,0,0,0,7,4,10,50,0,1,1,2
84,0,0,0,0,2,1,0,0,0,50,70,50,10,1,1,1,3
85,0,0,0,0,2,1,0,0,0,1,0,1,12,0,0,1,1
86,0,6,4,0,2,1,0,0,0,70,12,40,50,1,1,0,3
87,0,0,0,0,2,1,0,0,0,19,70,3,50,0,0,0,1
88,1,0,0,0,2,1,0,0,0,3,12,4,33,0,0,0,1
89,0,0,0,0,2,1,0,0,0,5,20,1,50,1,1,1,1
90,0,0,0,0,2,1,0,0,0,4,8,10,60,1,1,1,1
91,0,0,0,0,2,1,0,0,0,80,90,55,19,1,1,0,3
92,1,0,0,0,2,1,0,0,0,50,70,19,15,1,1,0,3
93,0,9,5,0,2,1,0,0,0,55,89,40,40,1,1,0,3
94,1,0,0,0,2,1,0,0,0,80,44,35,10,0,1,1,1
95,1,0,0,0,2,1,0,0,0,100,80,2,70,0,0,0,3
96,1,0,0,0,2,2,0,0,0,14,60,11,75,1,1,0,3
97,1,0,0,0,2,1,0,0,0,6,2,38,12,0,0,0,2
